jahr,bezirk,ortsteil,leitung16,leitung50
2013,"Treptow-Köpenick","Oberschöneweide",98,91
2013,"Treptow-Köpenick","Plänterwald",99,96
2013,"Treptow-Köpenick","Rahnsdorf",94,51
2013,"Treptow-Köpenick","Schmöckwitz",97,86
2015,"Charlottenburg-Wilmersdorf","Charlottenburg",100,98
2015,"Charlottenburg-Wilmersdorf","Charlottenburg-Nord",98,93
2015,"Charlottenburg-Wilmersdorf","Grunewald",99,96
2015,"Charlottenburg-Wilmersdorf","Halensee",99,98
2015,"Charlottenburg-Wilmersdorf","Schmargendorf",100,94
2015,"Charlottenburg-Wilmersdorf","Westend",99,93
2015,"Charlottenburg-Wilmersdorf","Wilmersdorf",100,98
2015,"Friedrichshain-Kreuzberg","Friedrichshain",98,87
2015,"Friedrichshain-Kreuzberg","Kreuzberg",100,90
2015,"Lichtenberg","Alt-Hohenschönhausen",98,91
2015,"Lichtenberg","Falkenberg",86,62
2015,"Lichtenberg","Fennpfuhl",97,74
2015,"Lichtenberg","Friedrichsfelde",98,81
2015,"Lichtenberg","Karlshorst",97,88
2015,"Lichtenberg","Lichtenberg",96,84
2015,"Lichtenberg","Malchow",94,70
2015,"Lichtenberg","Neu-Hohenschönhausen",97,95
2015,"Lichtenberg","Rummelsburg",98,83
2015,"Lichtenberg","Wartenberg",73,36
2015,"Marzahn-Hellersdorf","Biesdorf",98,83
2015,"Marzahn-Hellersdorf","Hellersdorf",100,92
2015,"Marzahn-Hellersdorf","Kaulsdorf",99,81
2015,"Marzahn-Hellersdorf","Mahlsdorf",96,73
2015,"Marzahn-Hellersdorf","Marzahn",99,89
2015,"Mitte","Gesundbrunnen",100,89
2015,"Mitte","Hansaviertel",100,93
2015,"Mitte","Mitte",100,95
2015,"Mitte","Moabit",100,96
2015,"Mitte","Tiergarten",100,96
2015,"Mitte","Wedding",100,96
2015,"Neukölln","Britz",99,90
2015,"Neukölln","Buckow",100,84
2015,"Neukölln","Gropiusstadt",98,81
2015,"Neukölln","Neukölln",100,95
2015,"Neukölln","Rudow",99,83
2015,"Pankow","Blankenburg",83,61
2015,"Pankow","Blankenfelde",73,54
2015,"Pankow","Buch",95,83
2015,"Pankow","Französisch Buchholz",97,70
2015,"Pankow","Heinersdorf",98,73
2015,"Pankow","Karow",82,47
2015,"Pankow","Niederschönhausen",96,87
2015,"Pankow","Pankow",94,91
2015,"Pankow","Prenzlauer Berg",100,97
2015,"Pankow","Rosenthal",95,67
2015,"Pankow","Stadtrandsiedlung Malchow",96,20
2015,"Pankow","Weißensee",88,83
2015,"Pankow","Wilhelmsruh",100,96
2015,"Reinickendorf","Frohnau",100,98
2015,"Reinickendorf","Heiligensee",99,80
2015,"Reinickendorf","Hermsdorf",100,85
2015,"Reinickendorf","Konradshöhe",99,92
2015,"Reinickendorf","Lübars",100,88
2015,"Reinickendorf","Märkisches Viertel",100,87
2015,"Reinickendorf","Reinickendorf",100,93
2015,"Reinickendorf","Tegel",99,89
2015,"Reinickendorf","Waldmannslust",100,93
2015,"Reinickendorf","Wittenau",100,92
2015,"Spandau","Falkenhagener Feld",99,89
2015,"Spandau","Gatow",86,79
2015,"Spandau","Hakenfelde",96,86
2015,"Spandau","Haselhorst",99,92
2015,"Spandau","Kladow",86,79
2015,"Spandau","Siemensstadt",98,93
2015,"Spandau","Spandau",100,95
2015,"Spandau","Staaken",98,84
2015,"Spandau","Wilhelmsstadt",100,95
2015,"Steglitz-Zehlendorf","Dahlem",96,89
2015,"Steglitz-Zehlendorf","Lankwitz",100,92
2015,"Steglitz-Zehlendorf","Lichterfelde",100,91
2015,"Steglitz-Zehlendorf","Nikolassee",99,82
2015,"Steglitz-Zehlendorf","Steglitz",100,98
2015,"Steglitz-Zehlendorf","Wannsee",99,86
2015,"Steglitz-Zehlendorf","Zehlendorf",100,89
2015,"Tempelhof-Schöneberg","Friedenau",100,99
2015,"Tempelhof-Schöneberg","Lichtenrade",100,91
2015,"Tempelhof-Schöneberg","Mariendorf",100,94
2015,"Tempelhof-Schöneberg","Marienfelde",98,88
2015,"Tempelhof-Schöneberg","Schöneberg",100,94
2015,"Tempelhof-Schöneberg","Tempelhof",100,91
2015,"Treptow-Köpenick","Adlershof",100,91
2015,"Treptow-Köpenick","Altglienicke",98,80
2015,"Treptow-Köpenick","Alt-Treptow",100,95
2015,"Treptow-Köpenick","Baumschulenweg",94,86
2015,"Treptow-Köpenick","Bohnsdorf",97,64
2015,"Treptow-Köpenick","Friedrichshagen",99,91
2015,"Treptow-Köpenick","Grünau",100,86
2015,"Treptow-Köpenick","Johannistal",98,90
2015,"Treptow-Köpenick","Köpenick",99,85
2015,"Treptow-Köpenick","Müggelheim",86,46
2015,"Treptow-Köpenick","Niederschöneweide",99,93
2015,"Treptow-Köpenick","Oberschöneweide",99,91
2015,"Treptow-Köpenick","Plänterwald",100,97
2015,"Treptow-Köpenick","Rahnsdorf",97,56
2015,"Treptow-Köpenick","Schmöckwitz",97,85
2017,"Mitte","Gesundbrunnen",99.17,94.15
2017,"Mitte","Hansaviertel",99.17,94.15
2017,"Mitte","Mitte",99.17,94.15
2017,"Mitte","Moabit",99.17,94.15
2017,"Mitte","Tiergarten",99.17,94.15
2017,"Mitte","Wedding",99.17,94.15
2017,"Friedrichshain-Kreuzberg","Friedrichshain",98.85,90.69
2017,"Friedrichshain-Kreuzberg","Kreuzberg",98.85,90.69
2017,"Pankow","Blankenburg",94.92,85.50
2017,"Pankow","Blankenfelde",94.92,85.50
2017,"Pankow","Buch",94.92,85.50
2017,"Pankow","Französisch Buchholz",94.92,85.50
2017,"Pankow","Heinersdorf",94.92,85.50
2017,"Pankow","Karow",94.92,85.50
2017,"Pankow","Niederschönhausen",94.92,85.50
2017,"Pankow","Pankow",94.92,85.50
2017,"Pankow","Prenzlauer Berg",94.92,85.50
2017,"Pankow","Rosenthal",94.92,85.50
2017,"Pankow","Stadtrandsiedlung Malchow",94.92,85.50
2017,"Pankow","Weißensee",94.92,85.50
2017,"Pankow","Wilhelmsruh",94.92,85.50
2017,"Charlottenburg-Wilmersdorf","Charlottenburg",98.58,93.56
2017,"Charlottenburg-Wilmersdorf","Charlottenburg-Nord",98.58,93.56
2017,"Charlottenburg-Wilmersdorf","Grunewald",98.58,93.56
2017,"Charlottenburg-Wilmersdorf","Halensee",98.58,93.56
2017,"Charlottenburg-Wilmersdorf","Schmargendorf",98.58,93.56
2017,"Charlottenburg-Wilmersdorf","Westend",98.58,93.56
2017,"Charlottenburg-Wilmersdorf","Wilmersdorf",98.58,93.56
2017,"Spandau","Falkenhagener Feld",96.69,86.69
2017,"Spandau","Gatow",96.69,86.69
2017,"Spandau","Hakenfelde",96.69,86.69
2017,"Spandau","Haselhorst",96.69,86.69
2017,"Spandau","Kladow",96.69,86.69
