id,t1_mean,t1_median,t2_mean,t2_median,t3_mean,t3_median,t4_mean,t4_median,t5_mean,t5_median,t6_mean,t6_median,t7_mean,t7_median,t8_mean,t8_median,t9_mean,t9_median,t10_mean,t10_median,t11_mean,t11_median,t12_mean,t12_median
746,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0.125,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
747,2,2,2,2,2,2,1.6,2,1.8333333333333333,2,1.5714285714285714,2,1.375,1.5,1.3333333333333333,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,6,6,5.666666666666667,5,4.5,5,3.8,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,0.5,0.5,0.6666666666666666,1,0.75,1,0.8,1,0.6666666666666666,1,0.5714285714285714,1,0.5,0.5,0.4444444444444444,0,0.4,0,0.36363636363636365,0,0.3333333333333333,0,0.3076923076923077,0
755,2.5,2.5,4.333333333333333,4,3.75,3,4,4,3.3333333333333335,3,2.857142857142857,2,2.5,1.5,2.2222222222222223,1,2,0.5,1.8181818181818181,0,1.6666666666666667,0,1.6923076923076923,0
756,0,0,0,0,0,0,0.8,0,0.8333333333333334,0,0.8571428571428571,0,0.875,0.5,0.8888888888888888,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
757,0,0,0.3333333333333333,0,0.25,0,0.2,0,0.16666666666666666,0,0.14285714285714285,0,0.125,0,0.1111111111111111,0,0.1,0,0.09090909090909091,0,0.08333333333333333,0,0.07692307692307693,0
758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,0,0,0,0,0.25,0,0.4,0,0.5,0.5,0.5714285714285714,1,0.625,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
763,11.5,11.5,9.333333333333334,6,9,7,7.8,6,7.166666666666667,5.5,6.714285714285714,5,6.625,5.5,5.888888888888889,5,5.3,4.5,4.909090909090909,4,4.5,4,4.230769230769231,4
764,18,18,16.666666666666668,14,13.75,14,12.2,14,11.333333333333334,10.5,10.285714285714286,7,9.625,6.5,8.777777777777779,6,8.9,6.5,8.636363636363637,6,8.583333333333334,6.5,8.076923076923077,6
765,1,1,0.6666666666666666,0,0.75,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769,2.5,2.5,2.3333333333333335,2,2.5,2.5,2.2,2,1.8333333333333333,2,1.5714285714285714,2,1.375,1.5,1.4444444444444444,2,1.3,1.5,1.2727272727272727,1,1.25,1,1.1538461538461537,1
770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,NaN,NaN
772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18181818181818182,0,0.16666666666666666,0,0.15384615384615385,0
774,0.5,0.5,0.3333333333333333,0,0.25,0,0.2,0,0.16666666666666666,0,0.14285714285714285,0,0.125,0,0.1111111111111111,0,0.1,0,0.09090909090909091,0,0.08333333333333333,0,0.07692307692307693,0
777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,3,3,2,2,1.5,1,1.2,0,1.3333333333333333,1,1.1428571428571428,0,1.125,0.5,1,0,0.9,0,0.9090909090909091,0,0.8333333333333334,0,0.7692307692307693,0
780,NaN,NaN,4.333333333333333,4,NaN,NaN,3.6,4,3.1666666666666665,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
783,13,13,12,10,9.5,7.5,8.2,5,6.833333333333333,4,6.428571428571429,4,5.625,3.5,5.111111111111111,3,4.7,2.5,NaN,NaN,NaN,NaN,NaN,NaN
