date,value,type
9,1.000,1819
10,0.440,1819
11,0.600,1819
12,0.320,1819
13,0.200,1819
14,0.160,1819
15,0.200,1819
16,0.040,1819
17,0.160,1819
18,0.120,1819
19,0.400,1819
20,0.400,1819
21,0.200,1819
22,0.440,1819
23,0.280,1819
0,0.735,1834
1,1.000,1834
2,0.706,1834
3,0.265,1834
4,0.294,1834
5,0.088,1834
6,0.088,1834
7,0.147,1834
8,0.059,1834
9,0.265,1834
10,0.147,1834
11,0.088,1834
12,0.118,1834
13,0.059,1834
14,0.353,1834
15,0.529,1834
16,0.147,1834
17,0.235,1834
18,0.147,1834
19,0.147,1834
20,0.147,1834
21,0.147,1834
22,0.500,1834
23,0.088,1834
0,0.762,1835
1,0.619,1835
2,1.000,1835
3,0.143,1835
4,0.143,1835
5,0.095,1835
6,0.048,1835
7,0.476,1835
8,0.095,1835
9,0.143,1835
10,0.190,1835
11,0.143,1835
12,0.000,1835
13,0.000,1835
14,0.000,1835
15,0.000,1835
16,0.000,1835
17,0.048,1835
18,0.000,1835
19,0.000,1835
20,0.000,1835
21,0.000,1835
22,0.000,1835
23,0.048,1835
0,1.000,1847
1,0.342,1847
2,0.316,1847
3,0.132,1847
4,0.079,1847
5,0.763,1847
6,0.737,1847
7,0.711,1847
8,0.342,1847
9,0.079,1847
10,0.605,1847
11,0.211,1847
12,0.158,1847
13,0.132,1847
14,0.053,1847
15,0.079,1847
16,0.053,1847
17,0.000,1847
18,0.000,1847
19,0.000,1847
20,0.000,1847
21,0.000,1847
22,0.000,1847
23,0.053,1847
0,0.000,1848
1,0.000,1848
2,0.000,1848
3,0.000,1848
4,1.000,1848
5,0.947,1848
6,0.579,1848
7,0.487,1848
8,0.395,1848
9,0.000,1848
10,0.000,1848
11,0.000,1848
12,0.000,1848
13,0.000,1848
14,0.000,1848
15,0.013,1848
16,0.013,1848
17,0.013,1848
18,0.013,1848
19,0.000,1848
20,0.013,1848
21,0.000,1848
22,0.000,1848
23,0.000,1848
0,0.171,1855
1,0.486,1855
2,0.229,1855
3,0.343,1855
4,0.143,1855
5,0.229,1855
6,0.200,1855
7,0.314,1855
8,0.200,1855
9,0.200,1855
10,0.257,1855
11,0.600,1855
12,0.086,1855
13,0.229,1855
14,0.200,1855
15,0.143,1855
16,0.286,1855
17,0.229,1855
18,0.657,1855
19,1.000,1855
20,0.686,1855
21,0.457,1855
22,0.229,1855
23,0.743,1855
0,1.000,1858
1,0.565,1858
2,0.783,1858
3,0.348,1858
4,0.087,1858
5,0.217,1858
6,0.174,1858
7,0.478,1858
8,0.087,1858
9,0.391,1858
10,0.435,1858
11,0.087,1858
12,0.478,1858
13,0.261,1858
14,0.304,1858
15,0.435,1858
16,0.217,1858
17,0.130,1858
18,0.348,1858
19,0.217,1858
20,0.522,1858
21,0.261,1858
22,0.087,1858
23,0.348,1858
0,0.167,1874
1,0.100,1874
2,0.567,1874
3,0.500,1874
4,0.300,1874
5,0.367,1874
6,0.233,1874
7,0.400,1874
8,1.000,1874
9,0.300,1874
10,0.367,1874
11,0.267,1874
12,0.133,1874
13,0.333,1874
14,0.267,1874
15,0.400,1874
16,0.267,1874
17,0.433,1874
18,0.333,1874
19,0.667,1874
20,0.700,1874
21,0.833,1874
22,0.300,1874
23,0.667,1874
0,0.000,1889
1,0.000,1889
2,0.000,1889
3,0.000,1889
4,0.000,1889
5,0.294,1889
6,0.333,1889
7,0.235,1889
8,0.059,1889
9,0.471,1889
10,0.196,1889
11,0.196,1889
12,0.235,1889
13,0.373,1889
14,0.275,1889
15,0.118,1889
16,0.196,1889
17,0.176,1889
18,0.137,1889
19,0.137,1889
20,0.490,1889
21,1.000,1889
22,0.471,1889
23,0.078,1889
0,0.000,1959
1,0.000,1959
2,0.056,1959
3,0.685,1959
4,0.481,1959
5,0.204,1959
6,0.259,1959
7,0.093,1959
8,0.500,1959
9,0.389,1959
10,0.593,1959
11,1.000,1959
12,0.241,1959
13,0.278,1959
14,0.111,1959
15,0.185,1959
16,0.167,1959
17,0.074,1959
18,0.204,1959
