jahr,geber,politikbereich,betrag,plz,name,zweck,empfaengertyp,empfaengerid
2016,27,25,186384,347,1466,6622,12,46
2010,26,23,173730,347,1467,32118,00,6103
2010,26,23,123715,347,1467,32139,00,6103
2011,26,03,21729,347,1467,3359,00,6103
2016,22,21,817,79,1468,19542,39,210
2010,22,21,1050,333,1469,19542,00,6103
2011,22,21,1050,79,1469,19542,00,6103
2012,22,21,1050,79,1469,19542,00,6103
2013,22,21,974,79,1469,19542,00,6103
2015,22,21,830,79,1468,19542,39,210
2014,22,21,485,348,1470,19542,39,958
2015,22,21,439,348,1470,19542,39,958
2014,22,21,2988,85,1471,19542,39,337
2015,22,21,3687,85,1471,19542,39,337
2016,22,21,2520,85,1471,19542,39,337
2015,22,21,1189,95,1472,19542,39,278
2016,22,21,1337,95,1472,19542,39,278
2010,22,21,924,432,1472,19542,39,278
2011,22,21,851,95,1472,19542,00,6103
2012,22,21,851,95,1472,19542,39,278
2013,22,21,948,95,1472,19542,39,278
2014,22,21,1098,95,1472,19542,39,278
2010,22,21,1343,337,1473,19542,00,6103
2011,22,21,1391,350,1473,19542,00,6103
2012,22,21,1147,350,1473,19542,00,6103
2013,22,21,980,350,1473,19542,39,74
2014,22,21,1287,350,1473,19542,39,74
2015,22,21,1372,350,1473,19542,39,74
2016,22,21,1334,350,1473,19542,39,74
2010,22,21,6805,77,1474,19542,00,6103
2011,22,21,7119,77,1474,19542,00,6103
2012,22,21,7119,77,1474,19542,00,6103
2013,22,21,5820,77,1474,19542,39,60
2014,22,21,7860,77,1474,19540,39,60
2014,22,21,8296,77,1474,19542,39,60
2015,22,21,9585,77,1474,19542,39,60
2016,22,21,7705,77,1474,19540,39,60
2016,22,21,9201,77,1474,19542,39,60
2015,22,21,7723,77,1474,19540,39,60
2016,17,14,80730,54,1475,5866,15,5301
2015,28,28,5600,145,1477,10875,15,4694
2016,28,28,2283,145,1477,8596,15,4694
2013,28,28,333775,145,1477,33101,15,4694
2013,28,28,331124,145,1477,33102,15,4694
2015,28,28,336770,145,1477,1675,15,4694
2015,28,28,679999,145,1477,1676,15,4694
2009,29,28,301133,145,1477,33717,00,6103
2011,29,28,157120,145,1477,26641,00,6103
2011,29,28,313504,145,1477,26642,00,6103
2016,16,02,2676,139,1476,12288,15,5780
2016,16,02,15422,139,1476,24750,15,5780
2015,16,02,11970,139,1476,12288,15,5780
2013,28,28,2123610,173,1479,17695,15,610
2012,28,28,194150,338,1478,17695,15,3424
2011,29,28,18450,338,1478,9854,15,3424
2009,29,28,104650,338,1478,17695,15,3424
2013,30,20,42400,585,1480,21915,31,4333
2014,28,28,185550,08,1481,17695,15,3267
2015,17,04,3052,51,1373,24555,39,3034
2016,17,04,4000,54,1373,3449,39,3034
2010,11,20,250,425,1482,8441,00,6103
2009,11,20,250,217,1483,8441,39,1646
2012,15,17,41950,31,1371,23391,39,1361
2009,15,17,476800,08,1484,31102,39,172
2010,15,17,470400,08,1484,31102,39,172
2011,15,17,473600,08,1484,31102,39,172
2012,15,17,475400,08,1484,31102,39,172
2013,15,17,470400,139,1484,11027,39,172
2014,15,17,470400,139,1484,11027,39,172
